function,count,library
numpy.cumprod,6,pandas
numpy.ndarray.dot,6,dask.array
numpy.cos,6,pandas
numpy.ones_like,6,pandas
numpy.fabs,6,dask.array
numpy.minimum,6,pandas
numpy.float64.ndim,6,dask.array
numpy.modf,6,dask.array
numpy.add,6,xarray
numpy.atleast_3d,6,skimage
numpy.ndarray.strides,6,skimage
numpy.issubdtype,6,dask.array
numpy.where,6,xarray
numpy.finfo,6,pandas
numpy.timedelta64.dtype,6,pandas
numpy.isinf,6,dask.array
numpy.vectorize,6,pandas
numpy.ma.masked_all,6,pandas
numpy.real,6,dask.array
numpy.frexp,6,dask.array
numpy.percentile,5,xarray
numpy.uint16.dtype,5,pandas
numpy.float32.shape,5,dask.array
numpy.ma.array,5,skimage
numpy.exp2,5,pandas
numpy.bool_.shape,5,dask.array
numpy.ma.core.array,5,skimage
numpy.ix_,5,matplotlib
numpy.linalg.qr,5,dask.array
numpy.isscalar,5,matplotlib
numpy.int32,5,xarray
numpy.generic.astype,5,xarray
numpy.fft.irfft2,5,dask.array
numpy.nanmedian,5,dask.array
numpy.arcsin,5,pandas
numpy.complex128.shape,5,dask.array
numpy.searchsorted,5,pandas
numpy.arctan,5,pandas
numpy.random.mtrand.RandomState.uniform,5,dask.array
numpy.fft.ifft2,5,dask.array
numpy.random.mtrand.RandomState.choice,5,xarray
numpy.testing._private.utils.assert_equal,5,xarray
numpy.float,5,pandas
numpy.compress,5,pandas
numpy.rec,5,pandas
numpy.ma.nomask,5,matplotlib
numpy.percentile,5,skimage
numpy.floor,5,pandas
numpy.random.mtrand.RandomState.standard_normal,5,skimage
numpy.minimum,5,skimage
numpy.ndarray.fill,5,skimage
numpy.tile,5,dask.array
numpy.int16,5,matplotlib
numpy.min,5,matplotlib
numpy.intersect1d,5,pandas
numpy.issubdtype,5,matplotlib
numpy.ma.core.getdata,5,dask.array
numpy.logical_not,5,xarray
numpy.max,5,matplotlib
numpy.triu,5,dask.array
numpy.in1d,5,pandas
numpy.fft.fft,5,matplotlib
numpy.zeros_like,5,dask.array
numpy.linalg.svd,5,dask.array
numpy.angle,5,dask.array
numpy.copyto,5,matplotlib
numpy.matmul,5,dask.array
numpy.corrcoef,5,dask.array
numpy.square,5,skimage
numpy.rot90,5,skimage
numpy.full,5,xarray
numpy.ndindex,5,dask.array
numpy.indices,5,skimage
numpy.tri,5,skimage
numpy.ndarray.mean,5,xarray
numpy.prod,5,skimage
numpy.fft.irfftn,5,dask.array
numpy.cov,5,pandas
numpy.exp,5,dask.array
numpy.max,5,pandas
numpy.linalg,5,matplotlib
numpy.isreal,5,dask.array
numpy.ndarray.argmin,5,pandas
numpy.bool_,5,xarray
numpy.frombuffer,5,pandas
numpy.ufunc.reduce,5,skimage
numpy.int32,5,dask.array
numpy.int64.dtype,5,dask.array
numpy.ndarray.clip,5,dask.array
numpy.uint8,5,dask.array
numpy.complex128.ndim,5,dask.array
numpy.linalg.norm,5,skimage
numpy.float32.dtype,5,pandas
numpy.ndarray.argmax,5,skimage
numpy.empty_like,5,dask.array
numpy.prod,5,xarray
Type[numpy.ndarray].__name__,5,dask.array
numpy.testing._private.utils.assert_equal,5,matplotlib
numpy.log2,5,skimage
numpy.iinfo.max,5,skimage
numpy.count_nonzero,5,dask.array
numpy.logical_xor,5,pandas
numpy.ndarray.min,5,xarray
numpy.imag,5,dask.array
numpy.ndarray.max,5,xarray
numpy.dstack,5,dask.array
numpy.cosh,5,pandas
numpy.arcsinh,5,pandas
numpy.expand_dims,5,xarray
numpy.uint64.dtype,5,pandas
numpy.min_scalar_type,5,pandas
numpy.random.mtrand.RandomState,5,xarray
numpy.fft.ifftn,5,dask.array
numpy.rad2deg,5,pandas
